nmc_nmcpin,nmc_nmctitlename,nmc_firstname,nmc_maidenname,nmc_lastname,nmc_dateofbirth,nmc_gender,nmc_nationalityname,nmc_countryofbirthname,nmc_email,nmc_addressline1,nmc_addressline2,nmc_addressline3,nmc_city,nmc_postcode,nmc_countryname,nmc_traininginstitutecode,nmc_trainingtype,nmc_programme,nmc_academicroute,nmc_coursestartdate,nmc_courseenddate,nmc_trainingexampassdate,nmc_trainingstartdate,nmc_trainingcompletiondate
16H0367E,Miss,ROSE 111,,LEE,19760414,F,British,Zimbabwe,2211471@uknmc.org,London Road 111,MANCHESTER,GREATER MANCHESTER,Woodford,CM169EE,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0368E,Mrs,ROSE 112,CROSS,LEE,19890508,F,British,England,2211471@uknmc.org,London Road 112,WINSFORD,CHESHIRE,Woodford,CM161SP,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0369E,Miss,ROSE 113,,LEE,20050410,F,British,England,2211471@uknmc.org,London Road 113,WIDNES,CHESHIRE,Woodford,CM168HL,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0370E,Miss,ROSE 114,,LEE,20050204,F,British,England,2211471@uknmc.org,London Road 114,PRENTON,MERSEYSIDE,Woodford,CM169HQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0371E,Miss,ROSE 115,MEGAN-VICTORIA BELSHAM,LEE,20030706,F,British,England,2211471@uknmc.org,London Road 115,SHORTTHORN ROAD,STRATTON STRAWLESS,NORWICH,CM165NU,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0372E,Miss,ROSE 116,,LEE,20020625,F,British,England,2211471@uknmc.org,London Road 116,BIRKENHEAD,MERSEYSIDE,Woodford,CM160EW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0375E,Miss,ROSE 117,,LEE,20050627,F,British,England,2211471@uknmc.org,London Road 117,WIDNES,CHESHIRE,Woodford,CM167AA,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0374E,Miss,ROSE 118,WELCH MCINTYRE,LEE,19850815,F,British,England,2211471@uknmc.org,London Road 118,WALLASEY,MERSEYSIDE,MERSEYSIDE,CM165BG,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0373E,Mrs,ROSE 119,CHAPMAN,LEE,19790810,F,British,England,2211471@uknmc.org,London Road 119,WIRRAL,MERSEYSIDE,Woodford,CM162NF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0376E,Miss,ROSE 120,NGETHA,LEE,20020103,F,Kenyan,Kenya,2211471@uknmc.org,London Road 120,TOXTEXTH,LIVERPOOL,Woodford,CM160QX,Kenya,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0377E,Miss,ROSE 121,,LEE,20010226,F,British,England,2211471@uknmc.org,London Road 121,CHESTER,,Woodford,CM164PT,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0378E,Mrs,ROSE 122,,LEE,19891112,F,British,Nigeria,2211471@uknmc.org,London Road 122,MANCHESTER,,Woodford,CM168JQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0499E,Miss,ROSE 123,BEARDSLEY,LEE,19770512,F,British,England,2211471@uknmc.org,London Road 123,WELLINGTON,TELFORD,SHROPSHIRE,CM161AW,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0379E,Miss,ROSE 124,,LEE,20000208,F,British,France,2211471@uknmc.org,London Road 124,OLDFIELD WHARF,4 GAYTHORN ST,SALFORD,CM164PS,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0380E,Mr,ROSE 125,,LEE,19770625,M,British,England,2211471@uknmc.org,London Road 125,WIRRAL,MERSEYSIDE,Woodford,CM169RF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0381E,Miss,ROSE 126,,LEE,20050301,F,British,Wales,2211471@uknmc.org,London Road 126,MALPAS,CHESHIRE,Woodford,CM168QB,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0382E,Miss,ROSE 127,,LEE,20040204,F,British,England,2211471@uknmc.org,London Road 127,HARTFORD,NORTHWICH,CHESHIRE,CM161LY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0383E,Mr,ROSE 128,,LEE,19961006,M,British,England,2211471@uknmc.org,London Road 128,PRENTON,MERSEYSIDE,Woodford,CM167NY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0384E,Miss,ROSE 129,,LEE,20050508,F,British,England,2211471@uknmc.org,London Road 129,HINDLEY,WIGAN,LANCASHIRE,CM164DD,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0385E,Miss,ROSE 130,,LEE,20050831,F,British,Isle of Man,2211471@uknmc.org,London Road 130,BALLAHUTCHIN HILL,UNION MILLS,ISLE OF MAN,CM164AT,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0386E,Miss,ROSE 131,,LEE,20040510,F,British,England,2211471@uknmc.org,London Road 131,BLACON,CHESTER,Woodford,CM165QX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
15H0614E,Miss,ROSE 132,,LEE,20021015,F,British,England,2211471@uknmc.org,London Road 132,OLD HILL,LONGHOPE,GLOUCESTERSHIRE,CM160PF,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0387E,Miss,ROSE 133,RENSHALL,LEE,19850925,F,British,England,2211471@uknmc.org,London Road 133,LIVERPOOL,,Woodford,CM162QE,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20210920,20260812
16H0388E,Miss,ROSE 134,HOLLY DENNIS,LEE,20000604,F,British,England,2211471@uknmc.org,London Road 134,CAERGWRLE,FLINTSHIRE,Woodford,CM169DG,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0389E,Miss,ROSE 135,,LEE,19900503,F,British,Isle of Man,2211471@uknmc.org,London Road 135,PEEL,,ISLE OF MAN,CM161TF,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0390E,Miss,ROSE 136,,LEE,20000729,F,British,Wales,2211471@uknmc.org,London Road 136,HILL STREET,PENTRE BROUGHTON,WREXHAM,CM166DA,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0391E,Miss,ROSE 137,,LEE,20011006,F,British,England,2211471@uknmc.org,London Road 137,WARRINGTON,CHESHIRE,Woodford,CM161NX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0392E,Miss,ROSE 138,,LEE,20050122,F,British,Wales,2211471@uknmc.org,London Road 138,CLWT-Y-BONT,CAERNARFON,GWYNEDD,CM163EQ,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0393E,Mrs,ROSE 139,MCKEE,LEE,19860224,F,British,England,2211471@uknmc.org,London Road 139,ELLESMERE PORT,CHESHIRE,Woodford,CM163DQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0394E,Miss,ROSE 140,,LEE,20041224,F,British,England,2211471@uknmc.org,London Road 140,WIRRAL,MERSEYSIDE,BROMBOROUGH,CM166DY,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0395E,Miss,ROSE 141,,LEE,20031207,F,British,England,2211471@uknmc.org,London Road 141,PARKGATE,NESTON,MERSEYSIDE,CM166SX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0396E,Miss,ROSE 142,,LEE,20000317,F,British,England,2211471@uknmc.org,London Road 142,LIVERPOOL,,Woodford,CM160RX,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0397E,Ms,ROSE 143,GILLAN,LEE,19820622,F,South African,South Africa,2211471@uknmc.org,London Road 143,LITTLE NESTON,NESTON,CHESHIRE,CM164DU,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0398E,Miss,ROSE 144,,LEE,20000216,F,British,Wales,2211471@uknmc.org,London Road 144,COLWYN BAY,,Woodford,CM167RA,Wales,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0399E,Mrs,ROSE 145,KELLY,LEE,19890817,F,British,Isle of Man,2211471@uknmc.org,London Road 145,ONCHAN,ISLE OF MAN,Woodford,CM164AT,Isle of Man,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0400E,Miss,ROSE 146,,LEE,20020201,F,British,England,2211471@uknmc.org,London Road 146,NEWTON-LE-WILLOWS,MERSEYSIDE,Woodford,CM168JN,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
15H0615E,Miss,ROSE 147,,LEE,19930819,F,British,England,2211471@uknmc.org,London Road 147,BIRKENHEAD,MERSEYSIDE,Woodford,CM161QL,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
16H0401E,Miss,ROSE 148,,LEE,20050421,F,British,England,2211471@uknmc.org,London Road 148,NEWTON-LE-WILLOWS,MERSEYSIDE,Woodford,CM168NE,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
16H0402E,Miss,ROSE 149,,LEE,19860622,F,British,England,2211471@uknmc.org,London Road 149,LITTLE SUTTON,ELLESMERE PORT,Woodford,CM164TR,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
16H0403E,Miss,ROSE 150,,LEE,19900205,F,British,England,2211471@uknmc.org,London Road 150,5 KINGHAM CLOSE,WIRRAL,MERSEYSIDE,CM162PQ,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
15H0616E,Miss,ROSE 151,,LEE,20040301,F,British,England,2211471@uknmc.org,London Road 151,LITTLE SUTTON,ELLESMERE PORT,CHESHIRE,CM163RU,England,1315,R,AN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0444E,Miss,ROSE 152,,LEE,20040228,F,British,Saudi Arabia,2211471@uknmc.org,London Road 152,LIVERPOOL,,Woodford,CM162UU,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20240923,20260812
26H0528E,Mr,ROSE 153,,LEE,19780621,M,British,Nigeria,2211471@uknmc.org,London Road 153,LEIGH,,GREATER MANCHESTER,CM164SD,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0529E,Mr,ROSE 154,,LEE,19791122,M,Nigerian,Nigeria,2211471@uknmc.org,London Road 154,NEWTON HEATH,MANCHESTER,GREATER MANCHESTER,CM162UL,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0516E,Mr,ROSE 155,,LEE,19770110,M,Nigerian,Nigeria,2211471@uknmc.org,London Road 155,,,LIVERPOOL,CM160SU,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0445E,Ms,ROSE 156,,LEE,19831213,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 156,WESTHOUGHTON,BOLTON,BOLTON,CM163WE,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0446E,Miss,ROSE 157,,LEE,19871102,F,British,England,2211471@uknmc.org,London Road 157,WIDNES,CHESHIRE,Woodford,CM166EX,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0517E,Mrs,ROSE 158,,LEE,19970531,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 158,,,CHESTER,CM162AX,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0447E,Miss,ROSE 159,,LEE,20050221,F,English,England,2211471@uknmc.org,London Road 159,MINORCA HILL,LAXEY,Woodford,CM167DW,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0502E,Mrs,ROSE 160,WOOSEY,LEE,19830821,F,British,England,2211471@uknmc.org,London Road 160,PRENTON,MERSEYSIDE,Woodford,CM167RR,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0448E,Miss,ROSE 161,,LEE,20020621,F,British,Isle of Man,2211471@uknmc.org,London Road 161,BALDRINE,,Woodford,CM166DD,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0513E,Mrs,ROSE 162,BUDWORTH,LEE,19820825,F,British,England,2211471@uknmc.org,London Road 162,WIRRAL,MERSEYSIDE,Woodford,CM165UF,England,1315,R,AM,M Nurs,20200901,20290901,20260812,20220919,20260812
26H0487E,Miss,ROSE 163,,LEE,20041021,F,British,England,2211471@uknmc.org,London Road 163,NEWCASTLE-UNDER-LYME,STAFFORDSHIRE,Woodford,CM167QP,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0488E,Miss,ROSE 164,EVE DAVIES,LEE,20041119,F,British,England,2211471@uknmc.org,London Road 164,DESFORD,LEICESTER,LEICESTERSHIRE,CM169HR,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0449E,Miss,ROSE 165,,LEE,19900604,F,British,Wales,2211471@uknmc.org,London Road 165,SALTNEY,CHESTER,FLINTSHIRE,CM168LR,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0489E,Miss,ROSE 166,,LEE,19860914,F,British,Wales,2211471@uknmc.org,London Road 166,MOLD,FLINTSHIRE,Woodford,CM161FJ,Wales,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0434E,Mr,ROSE 167,NA,LEE,20040805,M,British,England,2211471@uknmc.org,London Road 167,CUDDINGTON,NORTHWICH,CHESHIRE,CM162PS,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0450E,Miss,ROSE 168,,LEE,19741027,F,British,Nigeria,2211471@uknmc.org,London Road 168,MANCHESTER,GREATER MANCHESTER,Woodford,CM168JU,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0451E,Mr,ROSE 169,,LEE,19710608,M,British,Nigeria,2211471@uknmc.org,London Road 169,FARNWORTH,BOLTON,GREATER MANCHESTER,CM169FP,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0435E,Miss,ROSE 170,,LEE,20040929,F,British,Wales,2211471@uknmc.org,London Road 170,SYCHDYN,MOLD,FLINTSHIRE,CM166EF,Wales,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0518E,Miss,ROSE 171,,LEE,19860718,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 171,,,CHESTER,CM162HT,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0531E,Miss,ROSE 172,,LEE,20020318,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 172,90 DURNING ROAD,,LIVERPOOL,CM165NH,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0532E,Mrs,ROSE 173,,LEE,19941216,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 173,,,ELLESMERE PORT,CM164BL,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0452E,Miss,ROSE 174,,LEE,20031119,F,British,England,2211471@uknmc.org,London Road 174,ST HELENS,MERSEYSIDE,Woodford,CM169AL,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0453E,Miss,ROSE 175,,LEE,19910309,F,British,England,2211471@uknmc.org,London Road 175,PADDINGTON,WARRINGTON,CHESHIRE,CM163GR,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0454E,Ms,ROSE 176,,LEE,19760630,F,British,England,2211471@uknmc.org,London Road 176,WIRRAL,MERSEYSIDE,Woodford,CM164QJ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
22L0052E,Mrs,ROSE 177,ALDRIDGE,LEE,19730214,F,British,England,2211471@uknmc.org,London Road 177,CONGLETON,,CHESHIRE,CM164LU,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20250203,20260812
26H0455E,Miss,ROSE 178,,LEE,20020927,F,British,England,2211471@uknmc.org,London Road 178,WIRRAL,MERSEYSIDE,Woodford,CM162AF,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0503E,Miss,ROSE 179,,LEE,19910221,F,British,England,2211471@uknmc.org,London Road 179,RUNCORN,HALTON,CHESHIRE,CM165XQ,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0504E,Miss,ROSE 180,,LEE,19890122,F,British,England,2211471@uknmc.org,London Road 180,WOODSIDE,TELFORD,SHROPSHIRE,CM165NU,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0456E,Miss,ROSE 181,,LEE,19801127,F,British,England,2211471@uknmc.org,London Road 181,GREAT SUTTON,ELLESMERE PORT,CHESHIRE,CM163NX,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0457E,Mr,ROSE 182,,LEE,19960124,M,British,England,2211471@uknmc.org,London Road 182,HIGHER KINNERTON,CHESTER,FLINTSHIRE,CM169AA,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0505E,Mrs,ROSE 183,MOODY,LEE,19711122,F,British,England,2211471@uknmc.org,London Road 183,WIRRAL,MERSEYSIDE,Woodford,CM167UJ,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0506E,Miss,ROSE 184,,LEE,19871221,F,British,England,2211471@uknmc.org,London Road 184,WIDNES,CHESHIRE,Woodford,CM168XF,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0490E,Miss,ROSE 185,,LEE,20040125,F,British,England,2211471@uknmc.org,London Road 185,WINDMILL HILL,RUNCORN,CHESHIRE,CM166LL,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0458E,Miss,ROSE 186,,LEE,20030528,F,British,Isle of Man,2211471@uknmc.org,London Road 186,DOUGLAS,ISLE OF MAN,Woodford,CM163LR,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0459E,Miss,ROSE 187,,LEE,20010122,F,British,England,2211471@uknmc.org,London Road 187,LAWLEY VILLAGE,TELFORD,SHROPSHIRE,CM162PQ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0533E,Mr,ROSE 188,,LEE,19980501,M,Nigerian,Nigeria,2211471@uknmc.org,London Road 188,,,CHESTER,CM163BQ,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0534E,Miss,ROSE 189,,LEE,19980803,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 189,BACHE HALL ESTATE,,CHESTER,CM161BR,Nigeria,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0436E,Mr,ROSE 190,,LEE,19961203,M,British,England,2211471@uknmc.org,London Road 190,41 MAIN ROAD,HIGHER KINNERTON,Woodford,CM169AJ,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0460E,Mrs,ROSE 191,,LEE,19750810,F,Spanish,Nigeria,2211471@uknmc.org,London Road 191,OLDHAM,GREATER MANCHESTER,Woodford,CM162HH,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0519E,Miss,ROSE 192,,LEE,20000617,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 192,HUNTER STREET,,CHESTER,CM162AS,Nigeria,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0491E,Miss,ROSE 193,,LEE,20050220,F,British,Wales,2211471@uknmc.org,London Road 193,TRINANT,CRUMLIN,"NEWPORT, CAERFFILI",CM163JG,Wales,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0437E,Miss,ROSE 194,,LEE,19951023,F,British,Wales,2211471@uknmc.org,London Road 194,CHORLTON,MANCHESTER,Woodford,CM169EG,England,1315,R,MH1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0461E,Miss,ROSE 195,,LEE,19900531,F,British,England,2211471@uknmc.org,London Road 195,CONNAH'S QUAY,,DEESIDE,CM164FF,Wales,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20210920,20260812
26H0507E,Miss,ROSE 196,,LEE,19920903,F,British,England,2211471@uknmc.org,London Road 196,BROMBOROUGH,WIRRAL,MERSEYSIDE,CM167DE,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0492E,Miss,ROSE 197,,LEE,20041018,F,British,England,2211471@uknmc.org,London Road 197,HOLLINS LANE,FORTON,"PRESTON, LANCASHIRE",CM160AA,England,1315,M,MW1,BSc (Hons) Mid,20200901,20290901,20260812,20230918,20260812
26H0508E,Miss,ROSE 198,,LEE,19861008,F,British,England,2211471@uknmc.org,London Road 198,WIRRAL,MERSEYSIDE,Woodford,CM162HQ,England,1315,R,AM,Level 7,20200901,20290901,20260812,20220919,20260812
26H0462E,Miss,ROSE 199,KINNIN,LEE,19970909,F,British,Isle of Man,2211471@uknmc.org,London Road 199,"REAYRT MIE, BALLASALLA",ISLE OF MAN,Woodford,CM162BN,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0463E,Miss,ROSE 200,,LEE,19751025,F,Ghanaian,Ghana,2211471@uknmc.org,London Road 200,SALFORD,ORDSALL,GREATER MANCHESTER,CM163EX,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0464E,Mr,ROSE 201,,LEE,19761224,M,British,Uganda,2211471@uknmc.org,London Road 201,CROXTETH GATE,LIVERPOOL,Woodford,CM163AR,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0465E,Ms,ROSE 202,,LEE,19731228,F,British,Wales,2211471@uknmc.org,London Road 202,MANCOT,DEESIDE,FLINTSHIRE,CM162AP,Wales,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0466E,Miss,ROSE 203,,LEE,20040125,F,British,England,2211471@uknmc.org,London Road 203,CHESTER,,Woodford,CM165LZ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0467E,Mr,ROSE 204,,LEE,20000506,M,Zimbabwean,Zimbabwe,2211471@uknmc.org,London Road 204,2 CHATHAM ST,SHEFFIELD,Woodford,CM168FG,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0511E,Miss,ROSE 205,,LEE,19861226,F,British,England,2211471@uknmc.org,London Road 205,WIRRAL,,Woodford,CM165LF,England,1315,R,MC,M Nurs,20200901,20290901,20260812,20210920,20260812
26H0509E,Mrs,ROSE 206,ELSON,LEE,19810904,F,British,England,2211471@uknmc.org,London Road 206,COCKSHUTT,ELLESMERE,SHROPSHIRE,CM160QU,England,1315,R,AM,Level 7,20200901,20290901,20260812,20230918,20260812
26H0535E,Ms,ROSE 207,,LEE,19970616,F,British,Bahamas,2211471@uknmc.org,London Road 207,"FLAT 78, CANNING ROAD",,LONDON,CM167FQ,England,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0468E,Miss,ROSE 208,,LEE,19910327,F,British,England,2211471@uknmc.org,London Road 208,WARRINGTON,,Woodford,CM167EJ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20200914,20260812
26H0469E,Ms,ROSE 209,WATSON,LEE,19900426,F,British,Isle of Man,2211471@uknmc.org,London Road 209,ONCHAN,,ISLE OF MAN,CM163BD,Isle of Man,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0470E,Mr,ROSE 210,,LEE,19840311,M,Nigerian,Nigeria,2211471@uknmc.org,London Road 210,SHAVINGTON,CREWE,CHESHIRE,CM165BJ,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0536E,Miss,ROSE 211,,LEE,19920422,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 211,SOUTH BANK,,MIDDLESBROUGH,CM166HW,Nigeria,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0537E,Mrs,ROSE 212,SHEILA KUZIVAKWASHE MPUKU,LEE,19880329,F,Zimbabwean,Zimbabwe,2211471@uknmc.org,London Road 212,,,WREXHAM,CM167UL,Wales,1315,R,MN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0471E,Mr,ROSE 213,,LEE,19831013,M,British,Nigeria,2211471@uknmc.org,London Road 213,LEIGH,GREATER MANCHESTER,Woodford,CM161DH,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0472E,Mrs,ROSE 214,,LEE,19910815,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 214,FAILSWORTH,GREATER MANCHESTER,Woodford,CM169PS,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0521E,Ms,ROSE 215,,LEE,19941112,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 215,35B PARKGATE ROAD,,CHESTER,CM164AG,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0473E,Mr,ROSE 216,,LEE,19780929,M,British,Nigeria,2211471@uknmc.org,London Road 216,MANCHESTER,GREATER MANCHESTER,Woodford,CM161QD,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0474E,Mr,ROSE 217,,LEE,19720622,M,British,Nigeria,2211471@uknmc.org,London Road 217,MANCHESTER,GREATER MANCHESTER,Woodford,CM168AY,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0475E,Mr,ROSE 218,,LEE,19860410,M,Irish,Nigeria,2211471@uknmc.org,London Road 218,LITTLE HULTON,MANCHESTER,Woodford,CM160BY,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0476E,Mr,ROSE 219,,LEE,19780601,M,British,Nigeria,2211471@uknmc.org,London Road 219,OLDHAM,GREATER MANCHESTER,Woodford,CM162JT,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0538E,Mr,ROSE 220,,LEE,19780902,M,Nigerian,Nigeria,2211471@uknmc.org,London Road 220,SALFORD,MANCHESTER,UNITED KINGDOM,CM165GX,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20230918,20260812
26H0477E,Mr,ROSE 221,,LEE,19790412,M,German,Nigeria,2211471@uknmc.org,London Road 221,MANCHESTER,,Woodford,CM169HX,England,1315,R,MN1,B Nurs (Hons),20200901,20290901,20260812,20220919,20260812
26H0522E,Miss,ROSE 222,,LEE,19990131,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 222,,,CHESTER,CM164BR,England,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
26H0523E,Miss,ROSE 223,,LEE,19970712,F,Nigerian,Nigeria,2211471@uknmc.org,London Road 223,,,CHESTER,CM164BU,Nigeria,1315,R,AN1,MSc,20200901,20290901,20260812,20240923,20260812
